LongName,Wage_euro,OVA
Lionel Messi,560000,93
C. Ronaldo dos Santos Aveiro,220000,92
Jan Oblak,125000,91
Kevin De Bruyne,370000,91
Neymar da Silva Santos Jr.,270000,91
Robert Lewandowski,240000,91
Mohamed Salah,250000,90
Alisson Ramses Becker,160000,90
Kylian Mbappé,160000,90
Marc-André ter Stegen,260000,90
Virgil van Dijk,210000,90
Sadio Mané,250000,90
Carlos Henrique Venancio Casimiro,310000,89
Thibaut Courtois,250000,89
Manuel Neuer,130000,89
Karim Benzema,350000,89
Sergio Ramos García,300000,89
Sergio Agüero,300000,89
Raheem Sterling,270000,88
N'Golo Kanté,190000,88
Joshua Kimmich,145000,88
Paulo Dybala,190000,88
Ederson Santana de Moraes,195000,88
Harry Kane,220000,88
Samir Handanovič,100000,88
Kalidou Koulibaly,140000,88
Eden Hazard,350000,88
Toni Kroos,310000,88
Antoine Griezmann,290000,87
Jadon Sancho,82000,87
Trent Alexander-Arnold,110000,87
Bernardo Mota Carvalho e Silva,230000,87
Andrew Robertson,155000,87
Aymeric Laporte,200000,87
Bruno Miguel Borges Fernandes,195000,87
Fábio Henrique Tavares,155000,87
Heung Min Son,165000,87
Roberto Firmino Barbosa de Oliveira,190000,87
Keylor Navas,110000,87
Giorgio Chiellini,95000,87
Sergio Busquets Burgos,240000,87
Pierre-Emerick Aubameyang,170000,87
Wojciech Szczęsny,105000,87
Ángel Di María,160000,87
Luka Modrić,260000,87
Luis Suárez,115000,87
Hugo Lloris,125000,87
Ciro Immobile,125000,87
Thomas Müller,130000,86
David De Gea Quintana,150000,86
Daniel Carvajal Ramos,230000,86
Raphaël Varane,220000,86
Marco Verratti,135000,86
Paul Pogba,190000,86
Jamie Vardy,160000,86
Gerard Piqué Bernabeu,220000,86
Mats Hummels,95000,86
Yann Sommer,55000,86
David Josué Jiménez Silva,58000,86
Alejandro Gómez,100000,86
Jordi Alba Ramos,220000,86
Jordan Henderson,140000,86
Rodrigo Hernández Cascante,145000,85
Sergej Milinković-Savić,95000,85
Memphis Depay,115000,85
Kai Havertz,105000,85
Matthijs de Ligt,81000,85
Milan Škriniar,130000,85
Marcus Rashford,150000,85
Gianluigi Donnarumma,34000,85
Serge Gnabry,100000,85
Leroy Sané,100000,85
Hakim Ziyech,140000,85
Clément Lenglet,190000,85
Marcos Aoás Corrêa,115000,85
Riyad Mahrez,210000,85
Ricardo Barbosa Pereira,120000,85
Timo Werner,135000,85
Daniel Parejo Muñoz,59000,85
Mauro Icardi,135000,85
Frenkie de Jong,190000,85
Lorenzo Insigne,120000,85
Toby Alderweireld,130000,85
Thiago Emiliano da Silva,95000,85
Jorge Resurrección,90000,85
Bernd Leno,105000,85
Romelu Lukaku,165000,85
Alex Sandro Lobo Silva,120000,85
Thiago Alcântara,150000,85
Kyle Walker,170000,85
Christian Eriksen,155000,85
Péter Gulácsi,65000,85
Leonardo Bonucci,110000,85
Dries Mertens,115000,85
Luis Alberto Romero Alconchel,100000,85
Diego Godín,56000,85
Georginio Wijnaldum,150000,85
Miralem Pjanić,220000,85
Marco Reus,95000,85
Wilfred Ndidi,95000,84
José María Giménez,71000,84
André Onana,18000,84
Julian Brandt,75000,84
Mikel Oyarzabal Ugarte,47000,84
Lautaro Martínez,130000,84
Erling Haaland,56000,84
Alex Nicolao Telles,145000,84
Kingsley Coman,95000,84
Alejandro Grimaldo García,20000,84
Arthur Henrique Ramos Oliveira Melo,100000,84
Niklas Süle,84000,84
Raphaël Guerreiro,86000,84
Anthony Martial,155000,84
Felipe Augusto de Almeida Monteiro,74000,84
Leon Goretzka,105000,84
Saúl Ñíguez Esclápez,78000,84
Thomas Partey,120000,84
Wissam Ben Yedder,90000,84
Nicolás Tagliafico,27000,84
Raúl Jiménez,140000,84
Marcelo Brozović,125000,84
Lucas Digne,110000,84
Roman Bürki,68000,84
Josip Iličić,90000,84
José María Callejón Bueno,85000,84
Luis Miguel Afonso Fernandes,25000,84
Francisco Román Alarcón Suárez,210000,84
David Alaba,105000,84
Idrissa Gueye,105000,84
Jesús Corona,25000,84
Iago Aspas Juncal,46000,84
Douglas Costa de Souza,110000,84
Stefan de Vrij,130000,84
Fernando Luiz Rosa,110000,84
Lucas Pezzini Leiva,83000,84
César Azpilicueta Tanco,120000,84
Salvatore Sirigu,54000,84
Kasper Schmeichel,90000,84
Axel Witsel,79000,84
Rui Pedro dos Santos Patrício,90000,84
Edinson Cavani,175000,84
Jesús Navas González,43000,84
Achraf Hakimi,90000,83
Ferland Mendy,160000,83
Ousmane Dembélé,175000,83
Thorgan Hazard,79000,83
Ronaldo Jailson Cabrais Petri,49000,83
Aaron Wan-Bissaka,115000,83
Denis Zakaria,45000,83
