Position_Group,Age_Group,Mean_Wage_Per_Age_Group
Defenders,15 - 20,4597
Defenders,20 - 25,8825
Defenders,25 - 30,13493
Defenders,30 - 35,12751
Defenders,35 - 40,8981
Defenders,40 - 45,20000
Forwards,15 - 20,4505
Forwards,20 - 25,10109
Forwards,25 - 30,16312
Forwards,30 - 35,20142
Forwards,35 - 40,10902
Forwards,40 - 45,3500
Goalkeeper,15 - 20,2946
Goalkeeper,20 - 25,5802
Goalkeeper,25 - 30,11886
Goalkeeper,30 - 35,12672
Goalkeeper,35 - 40,6280
Goalkeeper,40 - 45,12250
Midfielders,15 - 20,5416
Midfielders,20 - 25,10601
Midfielders,25 - 30,15779
Midfielders,30 - 35,14668
Midfielders,35 - 40,7617
Midfielders,40 - 45,2333
